Country Name,Country Code,Region,"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)","Annualized growth in per capita real survey mean consumption or income, top 10% (%)","Annualized growth in per capita real survey mean consumption or income, top 60% (%)","Annualized growth in per capita real survey mean consumption or income, total population (%)",GINI index (World Bank estimate),Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change),Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change),Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change),Income share held by fourth 20%,Income share held by highest 10%,Income share held by highest 20%,Income share held by lowest 10%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,Number of poor at $1.90 a day (2011 PPP) (millions),Number of poor at $3.20 a day (2011 PPP) (millions),Number of poor at $5.50 a day (2011 PPP) (millions),"Population, total",Poverty gap at $1.90 a day (2011 PPP) (%),Poverty gap at $3.20 a day (2011 PPP) (% of population),Poverty gap at $5.50 a day (2011 PPP) (% of population),Poverty gap at national poverty lines (%),"Poverty gap at national poverty lines (%), including noncomparable values",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change),Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change),Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change),Rural poverty gap at national poverty lines (%),"Rural poverty gap at national poverty lines (%), including noncomparable values",Rural poverty headcount ratio at national poverty lines (% of rural population),"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values","Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day)","Survey mean consumption or income per capita, top 10% (2011 PPP $ per day)","Survey mean consumption or income per capita, top 60% (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)",Urban poverty gap at national poverty lines (%),"Urban poverty gap at national poverty lines (%), including noncomparable values",Urban poverty headcount ratio at national poverty lines (% of urban population),"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values"
Afghanistan,AFG,Southern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33736494,0,0,0,8.4,8.4,0,0,0,35.8,35.8,0,0,0,9.3,9.3,38.3,38.3,0,0,0,0,5.6,5.6,27.6,27.6
Albania,ALB,Southern Europe,-1.22,-2.89,-1.34,-1.31,29,0,0,0,22.8,22.9,37.8,3.7,8.9,13.2,17.3,0,0.2,1.1,2880703,0.2,1.6,10.3,2.9,2.9,1.1,7.7,39.1,14.3,14.3,0,0,0,3,3,15.3,15.3,4.08,16.99,9.62,7.41,2.9,2.9,13.6,13.6
Algeria,DZA,Northern Africa,0,0,0,0,27.6,0,0,0,22.3,22.9,37.2,4,9.4,13.7,17.5,0.2,1.4,10.7,39871528,0.2,0.8,6.7,0,0,0.5,3.9,29.2,5.5,5.5,0,0,0,0.8,0.8,4.8,4.8,0,0,0,0,1.1,1.1,5.8,5.8
Angola,AGO,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27859305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Latin America and the Caribbean,0,-1.57,-0.74,0,41.4,0,0,0.23,23.4,29.5,46.6,1.8,5.1,9.8,15.2,0.3,1.1,3.6,43417765,0.3,0.8,2.9,0,0,0.7,2.8,9.1,0,0,100,100,99.77,0,0,0,0,8.44,59.28,27.5,23.25,0,0,4.7,4.7
Armenia,ARM,Western Asia,0,4.72,4.58,0,32.4,0,232.48,96.22,21.8,26.7,40.7,3.4,8.2,12.6,16.7,0.1,0.4,1.4,2916950,0.4,3,14.8,4.5,4.5,1.9,13.5,48.3,29.8,29.8,0,-132.48,3.78,4.5,4.5,29.9,29.9,3.16,17.98,8.89,5.66,4.5,4.5,30,30
Australia,AUS,Australia & North America,0,0,0,0,34.7,0,0,0,22.7,26.5,42,2.7,7.3,11.8,16.1,0.1,0.1,0.1,23850784,0.3,0.4,0.5,0,0,0.3,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,Western Europe,-0.47,-0.48,-0.11,-0.28,30.5,0,0,0,22.9,23.8,38.4,3,7.9,13.2,17.6,0.1,0.1,0.1,8633169,0.5,0.6,0.7,0,0,0.7,0.7,0.9,0,0,0,0,0,0,0,0,0,29.07,133.65,72.9,55.26,0,0,0,0
Azerbaijan,AZE,Western Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9649341,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Southern Asia,0,0,0,0,32.1,113.67,93.7,96.46,21.2,26.9,41.5,3.9,8.9,12.5,16,29.9,91.9,133.5,161200886,3.6,19,43.4,6.5,6.5,19.6,60.4,87.7,31.5,31.5,-13.67,6.3,3.54,7.4,7.4,35.2,35.2,1.88,9.65,4.7,3.52,4.3,4.3,21.3,21.3
