Region,Year,% of Region Populaton
East Asia & Pacific,1990,54.19215823
Europe & Central Asia,1990,1.577982333
Latin America & Caribbean,1990,14.04354029
Middle East & North Africa,1990,5.625238853
South Asia,1990,44.40073057
Sub-Saharan Africa,1990,55.05908004
World,1990,35.30188281
East Asia & Pacific,1993,47.59526411
Europe & Central Asia,1993,2.744024659
Latin America & Caribbean,1993,12.98774671
Middle East & North Africa,1993,6.076027858
South Asia,1993,44.86961716
Sub-Saharan Africa,1993,59.62779554
World,1993,33.94126376
East Asia & Pacific,1996,36.28663734
Europe & Central Asia,1996,3.940989144
Latin America & Caribbean,1996,13.62567491
Middle East & North Africa,1996,5.223019431
South Asia,1996,40.33531486
Sub-Saharan Africa,1996,58.75181262
World,1996,29.44295868
East Asia & Pacific,1999,34.31298292
Europe & Central Asia,1999,4.272213818
Latin America & Caribbean,1999,13.39585133
Middle East & North Africa,1999,3.407777377
South Asia,1999,0
Sub-Saharan Africa,1999,58.22286043
World,1999,28.66521022
East Asia & Pacific,2002,26.52483575
Europe & Central Asia,2002,3.190025384
Latin America & Caribbean,2002,11.62459062
Middle East & North Africa,2002,2.854631519
South Asia,2002,38.57903852
Sub-Saharan Africa,2002,56.78123111
World,2002,25.68572279
East Asia & Pacific,2005,16.96567871
Europe & Central Asia,2005,2.624155753
Latin America & Caribbean,2005,9.702540702
Middle East & North Africa,2005,2.69374714
South Asia,2005,33.74826043
Sub-Saharan Africa,2005,50.83016686
World,2005,20.75977642
East Asia & Pacific,2008,13.44250769
Europe & Central Asia,2008,1.507994956
Latin America & Caribbean,2008,6.819122785
Middle East & North Africa,2008,2.365593547
South Asia,2008,29.47564192
Sub-Saharan Africa,2008,47.66743906
World,2008,18.07190849
East Asia & Pacific,2011,7.632989195
Europe & Central Asia,2011,1.099770553
Latin America & Caribbean,2011,5.567180377
Middle East & North Africa,2011,2.345090106
South Asia,2011,20.13546252
Sub-Saharan Africa,2011,44.87855001
World,2011,13.7747707
East Asia & Pacific,2013,3.249996133
Europe & Central Asia,2013,0.856645288
Latin America & Caribbean,2013,4.502055948
Middle East & North Africa,2013,2.300518377
South Asia,2013,15.14143575
Sub-Saharan Africa,2013,42.06840206
World,2013,10.89340939
